resource_id	resource_type	name	uri	availability	role	status	notes
RESOURCE-DATA-009	dataset	GSE183904 gastric single-cell atlas	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183904	public	High-value patient-level reference	candidate	Public processed single-cell data; raw files were not submitted for privacy, and spatial GeoMx measurements described by the source paper need separate access verification.
RESOURCE-METHOD-001	method	TRIPOD external-validation and reporting framework	https://www.tripod-statement.org/	public	Prediction-model audit standard	accepted	Requires applying the original formula to new participants and evaluating model performance; discrimination and calibration are distinct.
RESOURCE-METHOD-002	method	PROBAST prediction-model risk-of-bias framework	https://www.probast.org/	public	Bias and applicability audit standard	accepted	Use participant, predictor, outcome, and analysis domains; do not equate many cohorts with low risk of bias.
RESOURCE-CODE-001	code	Exact anchor analysis code		unknown	Exact reproduction donor	blocked	No code-availability statement or repository was found in the paper, supplement, or targeted DOI/title/accession searches as of 2026-08-02.
RESOURCE-CODE-002	code	survival package and vignettes	https://cran.r-project.org/package=survival	public	Survival-analysis implementation donor	candidate	Official maintained implementation fragment; final versions and model diagnostics must be frozen in G2.
RESOURCE-CODE-003	code	glmnet package and vignette	https://glmnet.stanford.edu/articles/glmnet.html	public	LASSO reconstruction donor	candidate	High-quality method donor, but it cannot recover the anchor's undocumented folds, seed, preprocessing, or cutoff.
RESOURCE-CODE-004	code	muscat Bioconductor workflow	https://bioconductor.org/packages/muscat/	public	Replicate-aware single-cell inference donor	candidate	Use for patient-level pseudobulk or differential-state patterns when count and design requirements are met; do not treat cells as biological replicates.
RESOURCE-CODE-005	code	Seurat official vignettes	https://satijalab.org/seurat/articles/	public	Single-cell and spatial implementation fragments	candidate	Useful modular donor for object handling and visualization; paper-specific adapters and tests remain necessary.
RESOURCE-CODE-006	code	SpatialExperiment Bioconductor infrastructure	https://bioconductor.org/packages/SpatialExperiment/	public	Spatial data-contract donor	candidate	Use as a stable container and provenance layer; analysis method still depends on platform and biological question.
RESOURCE-OTHER-001	other	Published 441 nerve-related gene list	local://supplement-table-S4	local	Anchor construct definition	candidate	The list is present, but KEGG pathway IDs, database version, retrieval date, inclusion logic, and deduplication rules are absent.
RESOURCE-ENV-001	environment	R 4.4.1 server environment	ssh://configured-analysis-server	local	Candidate execution environment	candidate	Credentials are never stored in Git; package lock, system libraries, and smoke tests are deferred until a direction is approved.
RESOURCE-DATA-010	dataset	GSE214293 paired gastric tumor and adjacent-tissue expression cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214293	public	Published PNI-inflammation model provenance and comparison donor	candidate	Fifty samples form paired tumor and adjacent-tissue records from the published PNI-mediated inflammation study; this is provenance evidence, not an independent rediscovery cohort.
RESOURCE-DATA-011	dataset	GSE62254 gastric cancer cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62254	public	Primary pathological-PNI-labeled bulk test cohort	candidate	Three hundred gastric tumors are public; G1 must verify the exact pathological PNI field, coding, missingness, expression preprocessing, survival fields, and independence from any score-development step.
RESOURCE-CODE-007	code	Squidpy official documentation and examples	https://squidpy.readthedocs.io/	public	Spatial-neighborhood implementation donor	candidate	Use only multi-sample graph, neighborhood, and image-integration fragments that preserve patient and section identities; examples are not a substitute for a prespecified inferential model.
RESOURCE-CODE-008	code	TIAToolbox whole-slide image toolkit	https://github.com/TissueImageAnalytics/tiatoolbox	public	WSI engineering donor	candidate	Maintained pathology toolkit for slide reading, patching, and models; the high-burden multimodal reserve still needs pathology labels, patient-level splits, tests, and an external cohort.
RESOURCE-DOC-003	document	Current G0 candidate portfolio	reports/g0_candidate_portfolio.md	local	Current human direction decision evidence	accepted	Generated under schema v0.2.0 on 2026-08-02; owner approval is still required before G1.
